dam_name,calculation_time,risk_observed_at,forecast_horizon_hours,forecast_time,current_inflow,predicted_inflow_6h,expected_inflow,current_discharge,discharge_gap,recommended_discharge,storage_rate,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_48h,rainfall_72h,rainfall_120h,rainfall_until_horizon,recommendation_level,recommendation_message,data_warning
군위,2026-05-14 11:11:00,2026-05-14 11:00:00,6,2026-05-14 16:30:00,0.1,0.268,0.268,0.4,0.0,0.4,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
군위,2026-05-14 11:11:00,2026-05-14 11:00:00,12,2026-05-14 20:00:00,0.1,0.268,0.268,0.4,0.0,0.4,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
군위,2026-05-14 11:11:00,2026-05-14 11:00:00,24,2026-05-15 08:00:00,0.1,0.268,0.268,0.4,0.0,0.4,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
군위,2026-05-14 11:11:00,2026-05-14 11:00:00,48,2026-05-16 08:00:00,0.1,0.268,0.268,0.4,0.0,0.4,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
군위,2026-05-14 11:11:00,2026-05-14 11:00:00,72,2026-05-17 08:00:00,0.1,0.268,0.268,0.4,0.0,0.4,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
군위,2026-05-14 11:11:00,2026-05-14 11:00:00,120,2026-05-19 08:00:00,0.1,0.268,0.268,0.4,0.0,0.4,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
남강,2026-05-14 11:11:00,2026-05-14 11:00:00,6,2026-05-14 16:30:00,13.8,6.769,13.8,26.1,0.0,26.1,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",
남강,2026-05-14 11:11:00,2026-05-14 11:00:00,12,2026-05-14 20:00:00,13.8,6.769,13.8,26.1,0.0,26.1,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",
남강,2026-05-14 11:11:00,2026-05-14 11:00:00,24,2026-05-15 08:00:00,13.8,6.769,13.8,26.1,0.0,26.1,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",
남강,2026-05-14 11:11:00,2026-05-14 11:00:00,48,2026-05-16 08:00:00,13.8,6.769,13.8,26.1,0.0,26.1,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",
남강,2026-05-14 11:11:00,2026-05-14 11:00:00,72,2026-05-17 08:00:00,13.8,6.769,13.8,26.1,0.0,26.1,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",
남강,2026-05-14 11:11:00,2026-05-14 11:00:00,120,2026-05-19 08:00:00,13.8,6.769,13.8,26.1,0.0,26.1,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",
대청,2026-05-14 11:11:00,2026-05-14 11:00:00,6,2026-05-14 16:30:00,19.2,3.047,19.2,57.2,0.0,57.2,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",V3 유입량 예측 성능이 낮은 댐이므로 참고용으로 해석 필요
대청,2026-05-14 11:11:00,2026-05-14 11:00:00,12,2026-05-14 20:00:00,19.2,3.047,19.2,57.2,0.0,57.2,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",V3 유입량 예측 성능이 낮은 댐이므로 참고용으로 해석 필요
대청,2026-05-14 11:11:00,2026-05-14 11:00:00,24,2026-05-15 08:00:00,19.2,3.047,19.2,57.2,0.0,57.2,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",V3 유입량 예측 성능이 낮은 댐이므로 참고용으로 해석 필요
대청,2026-05-14 11:11:00,2026-05-14 11:00:00,48,2026-05-16 08:00:00,19.2,3.047,19.2,57.2,0.0,57.2,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",V3 유입량 예측 성능이 낮은 댐이므로 참고용으로 해석 필요
대청,2026-05-14 11:11:00,2026-05-14 11:00:00,72,2026-05-17 08:00:00,19.2,3.047,19.2,57.2,0.0,57.2,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",V3 유입량 예측 성능이 낮은 댐이므로 참고용으로 해석 필요
대청,2026-05-14 11:11:00,2026-05-14 11:00:00,120,2026-05-19 08:00:00,19.2,3.047,19.2,57.2,0.0,57.2,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,"강수량, 저수율, 예상 유입량 기준으로 현재 방류량 유지가 적절합니다.",V3 유입량 예측 성능이 낮은 댐이므로 참고용으로 해석 필요
밀양,2026-05-14 11:11:00,2026-05-14 11:00:00,6,2026-05-14 16:30:00,2.6,1.496,2.6,2.6,0.0,2.6,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
밀양,2026-05-14 11:11:00,2026-05-14 11:00:00,12,2026-05-14 20:00:00,2.6,1.496,2.6,2.6,0.0,2.6,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
밀양,2026-05-14 11:11:00,2026-05-14 11:00:00,24,2026-05-15 08:00:00,2.6,1.496,2.6,2.6,0.0,2.6,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
밀양,2026-05-14 11:11:00,2026-05-14 11:00:00,48,2026-05-16 08:00:00,2.6,1.496,2.6,2.6,0.0,2.6,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
밀양,2026-05-14 11:11:00,2026-05-14 11:00:00,72,2026-05-17 08:00:00,2.6,1.496,2.6,2.6,0.0,2.6,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지,강수량과 예상 유입량이 낮고 저수율도 안정적이므로 현재 방류량 유지가 적절합니다.,
